workerid,proliferate.condition,choice,correct,gender,lexeme,name,response,trial_id,trial_no,type,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.gender,subject_information.gender_q1,subject_information.gender_q10,subject_information.gender_q11,subject_information.gender_q12,subject_information.gender_q13,subject_information.gender_q2,subject_information.gender_q3,subject_information.gender_q4,subject_information.gender_q5,subject_information.gender_q6,subject_information.gender_q7,subject_information.gender_q8,subject_information.gender_q9,subject_information.language,subject_information.party_alignment,subject_information.price,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
916,Dems,TRUE,,,,,,example,,,51,,Thank you.,3,0,Male,82,68,72,88,78,77,91,77,85,57,69,67,68,English,4,0,Firefox,Windows,768,1024,12.42061667,
916,Dems,,0,filler,cat,filler,cat,,0,filler_semantic,51,,Thank you.,3,0,Male,82,68,72,88,78,77,91,77,85,57,69,67,68,English,4,0,Firefox,Windows,768,1024,12.42061667,
916,Dems,,0,filler,octopus,filler,octopuses,,1,filler_grammatical,51,,Thank you.,3,0,Male,82,68,72,88,78,77,91,77,85,57,69,67,68,English,4,0,Firefox,Windows,768,1024,12.42061667,
916,Dems,,0,filler,tree,filler,আগে,,2,filler_grammatical,51,,Thank you.,3,0,Male,82,68,72,88,78,77,91,77,85,57,69,67,68,English,4,0,Firefox,Windows,768,1024,12.42061667,
916,Dems,,0,filler,shipping,filler,over,,3,filler_semantic,51,,Thank you.,3,0,Male,82,68,72,88,78,77,91,77,85,57,69,67,68,English,4,0,Firefox,Windows,768,1024,12.42061667,
916,Dems,,0,filler,lawyer,filler,lawyer,,4,filler_semantic,51,,Thank you.,3,0,Male,82,68,72,88,78,77,91,77,85,57,69,67,68,English,4,0,Firefox,Windows,768,1024,12.42061667,
916,Dems,,0,filler,page,filler,book,,5,filler_semantic,51,,Thank you.,3,0,Male,82,68,72,88,78,77,91,77,85,57,69,67,68,English,4,0,Firefox,Windows,768,1024,12.42061667,
916,Dems,,0,filler,Spain,filler,from,,6,filler_grammatical,51,,Thank you.,3,0,Male,82,68,72,88,78,77,91,77,85,57,69,67,68,English,4,0,Firefox,Windows,768,1024,12.42061667,
916,Dems,,0,filler,director,filler,director,,7,filler_semantic,51,,Thank you.,3,0,Male,82,68,72,88,78,77,91,77,85,57,69,67,68,English,4,0,Firefox,Windows,768,1024,12.42061667,
916,Dems,,0,filler,programmer,filler,software engineer,,8,filler_semantic,51,,Thank you.,3,0,Male,82,68,72,88,78,77,91,77,85,57,69,67,68,English,4,0,Firefox,Windows,768,1024,12.42061667,
916,Dems,,0,filler,fish,filler,fish,,9,filler_semantic,51,,Thank you.,3,0,Male,82,68,72,88,78,77,91,77,85,57,69,67,68,English,4,0,Firefox,Windows,768,1024,12.42061667,
