name_m,is_m,det_m,lexeme_m,from_m,state_m,pro_m,likes_m,activity_m,name_m2,is_m2,det_m2,lexeme_m2,from_m2,state_m2,pro_m2,likes_m2,activity_m2
Jane,is,an,actor,from,Wisconsin.,She,likes,studying.,x-x-x,sale,ago,decade,cent,Objective.,x-x-x,kinds,cylinder.
Jane,is,an,actress,from,Wisconsin.,She,likes,studying.,x-x-x,sale,ago,decade,cent,Objective.,x-x-x,kinds,cylinder.
John,is,an,actor,from,Wisconsin.He,likes,studying.,x-x-x,sale,ago,decade,cent,Objective.,x-x-x,kinds,cylinder.
John,is,an,actor,from,Wisconsin.,She,likes,studying.x-x-x,sale,ago,decade,cent,Objective.,x-x-x,kinds,cylinder.
Jane,is,an,anchor,from,Nevada.,She,likes,writing.x-x-x,hell,ago,pleaded,hear,Forbid.,x-x-x,smell,century.
Jane,is,an,anchorwoman,from,Nevada.,She,likes,writing.x-x-x,hell,ago,pleaded,hear,Forbid.,x-x-x,smell,century.
John,is,an,anchor,from,Nevada.,He,likes,writing.x-x-x,hell,ago,pleaded,hear,Forbid.,x-x-x,smell,century.
John,is,an,anchorman,from,Nevada.,She,likes,writing.x-x-x,hell,ago,pleaded,hear,Forbid.,x-x-x,smell,century.
Jane,is,a,flight attendant,from,South Carolina.,She,likes,surfing.x-x-x,sale,ago,grenades,versa,apply,Profit Worth.,x-x-x,defects,spoiler.
Jane,is,a,stewardess,from,South Carolina.,She,likes,surfing.x-x-x,sale,ago,grenades,versa,Apply Profit.,x-x-x,funny,defects.
John,is,a,flight attendant,from,South Carolina.,He,likes,surfing.x-x-x,sale,ago,grenades,versa,apply,Profit Worth.,x-x-x,defects,spoiler.
John,is,a,steward,from,South Carolina.,She,likes,surfing.x-x-x,sale,ago,grenades,versa,Apply Profit.,x-x-x,funny,defects.
Jane,is,a,businessperson,from,Hawaii.,She,likes,surfing.x-x-x,vote,cent,materialise,lots,Yields.,x-x-x,worse,impacts.
